"uid_01","hmdb_id","biochemical"
"HMDB00613#HMDB00613_M33477","HMDB0000613#HMDB0000613","Erythronic acid#Erythronic acid"
"COMP33515_34440_47687#COMP33515_34440_47687_M33515","#","X - 12100#X - 12100 TWINSUK V4-M33515"
"HMDB00477#HMDB00477_M33892","HMDB0000477#HMDB0000477","7Z,10Z-Hexadecadienoic acid#7Z,10Z-Hexadecadienoic acid"
"HMDB00407#HMDB00407_M33937","HMDB0000407#HMDB0000407","2-Hydroxy-3-methylbutyric acid#2-Hydroxy-3-methylbutyric acid"
"HMDB12108#HMDB12108_M33957","HMDB0012108#HMDB0012108","LysoPC(17:0)#LysoPC(17:0)"
"HMDB02815#HMDB02815_M33960","HMDB0002815#HMDB0002815","LysoPC(18:1(9Z))#LysoPC(18:1(9Z))"
"HMDB00991#HMDB00991_M34040","HMDB0000991#HMDB0000991","DL-2-Aminooctanoic acid#DL-2-Aminooctanoic acid"
"CHEM100002060#CHEM100002060_M34244","#","1-docosahexaenoylglycerophosphoethanolamine* or X - 12644#1-docosahexaenoylglycerophosphoethanolamine* (X - 12644) TWINSUK V4-M34244"
"HMDB00168#HMDB00168_M34283","HMDB0000168#HMDB0000168","L-Asparagine#L-Asparagine"
"HMDB11130#HMDB11130_M34416","HMDB0011130#HMDB0011130","LysoPE(18:0/0:0)#LysoPE(18:0/0:0)"
"COMP34481_46624#COMP34481_46624_M34481","#","X - 12798#X - 12798 TWINSUK V4-M34481"
"COMP34527_46633#COMP34527_46633_M34527","#","X - 12844#X - 12844 TWINSUK V4-M34527"
"HMDB00718#HMDB00718_M34732","HMDB0000718#HMDB0000718","Isovaleric acid#Isovaleric acid"
"COMP35189_47788#COMP35189_47788_M35189","#","X - 13431#X - 13431 TWINSUK V4-M35189"
"CHEM100001556#CHEM100001556_M35254","HMDB0061701#","2-Oleoylglycerophosphocholine#2-oleoylglycerophosphocholine* TWINSUK V4-M35254"
"HMDB00378#HMDB00378_M35431","HMDB0000378#HMDB0000378","2-Methylbutyroylcarnitine#2-Methylbutyroylcarnitine"
"HMDB13130#HMDB13130_M35439","HMDB0013130#HMDB0013130","Glutarylcarnitine#Glutarylcarnitine"
"COMP35977_46632#COMP35977_46632_M35977","#","X - 14056#X - 14056 TWINSUK V4-M35977"
"HMDB00156#HMDB00744","HMDB0000156#HMDB0000744","L-Malic acid#Malic acid"
"HMDB00163#PUBCHEM294","HMDB0000163#","D-Maltose#Cellobiose"
"CHEM350#HMDB02259","#HMDB0002259","Margarate, methyl ester#Heptadecanoic acid"
"CSID9085165#HMDB02005","#HMDB0002005","(2S)-2-Amino-4-[(S)-methylsulfinyl]butanoic acid#Methionine sulfoxide"
"CHEM100001704#HMDB34381","#HMDB0034381","Methyl linoleate or Linoleate, methyl ester#Methyl linoleate"
"HMDB11530#HMDB11561","HMDB0011530#HMDB0011561","MG(0:0/14:0/0:0)#MG(14:0/0:0/0:0)"
"HMDB11533#HMDB31074","HMDB0011533#HMDB0031074","MG(0:0/16:0/0:0)#Glycerol 1-hexadecanoate"
"CHEM100008952#CHEM100008953","HMDB0011565#HMDB0011565","MG(16:1(9Z)/0:0/0:0)#MG(16:1(9Z)/0:0/0:0)"
